epoch: 19, running loss(train data): 1.6356688737869263, Accuracy(val data): 0.5701106786727905
epoch: 819, running loss(train data): 1.25559401512146, Accuracy(val data): 0.8726937174797058
epoch: 839, running loss(train data): 1.254109501838684, Accuracy(val data): 0.8616236448287964
epoch: 859, running loss(train data): 1.258786916732788, Accuracy(val data): 0.8653136491775513
epoch: 879, running loss(train data): 1.2544492483139038, Accuracy(val data): 0.8634686470031738
epoch: 899, running loss(train data): 1.2548080682754517, Accuracy(val data): 0.8634686470031738
epoch: 919, running loss(train data): 1.2584567070007324, Accuracy(val data): 0.8634686470031738
epoch: 939, running loss(train data): 1.25453782081604, Accuracy(val data): 0.8708487153053284
epoch: 959, running loss(train data): 1.2519320249557495, Accuracy(val data): 0.8634686470031738
epoch: 979, running loss(train data): 1.2505706548690796, Accuracy(val data): 0.8634686470031738
epoch: 999, running loss(train data): 1.2582318782806396, Accuracy(val data): 0.8597785830497742
epoch: 1019, running loss(train data): 1.257930040359497, Accuracy(val data): 0.8616236448287964
epoch: 1039, running loss(train data): 1.28486967086792, Accuracy(val data): 0.8450184464454651
epoch: 1059, running loss(train data): 1.2528830766677856, Accuracy(val data): 0.8616236448287964
epoch: 1079, running loss(train data): 1.2535284757614136, Accuracy(val data): 0.8634686470031738
epoch: 1099, running loss(train data): 1.2734191417694092, Accuracy(val data): 0.8763837814331055
epoch: 1119, running loss(train data): 1.2489181756973267, Accuracy(val data): 0.8634686470031738
epoch: 1139, running loss(train data): 1.2518713474273682, Accuracy(val data): 0.8634686470031738
epoch: 1159, running loss(train data): 1.2494959831237793, Accuracy(val data): 0.8653136491775513
epoch: 1179, running loss(train data): 1.2477298974990845, Accuracy(val data): 0.8634686470031738
epoch: 1199, running loss(train data): 1.2499293088912964, Accuracy(val data): 0.8634686470031738
epoch: 1219, running loss(train data): 1.2514549493789673, Accuracy(val data): 0.8653136491775513
epoch: 1239, running loss(train data): 1.2541775703430176, Accuracy(val data): 0.8708487153053284
epoch: 1259, running loss(train data): 1.2536191940307617, Accuracy(val data): 0.8726937174797058
epoch: 1279, running loss(train data): 1.2688138484954834, Accuracy(val data): 0.8560885787010193
epoch: 1299, running loss(train data): 1.256227970123291, Accuracy(val data): 0.8505535125732422
epoch: 1319, running loss(train data): 1.2465497255325317, Accuracy(val data): 0.8634686470031738
epoch: 1339, running loss(train data): 1.246382236480713, Accuracy(val data): 0.8653136491775513
epoch: 1359, running loss(train data): 1.2445037364959717, Accuracy(val data): 0.8653136491775513
epoch: 1379, running loss(train data): 1.2487409114837646, Accuracy(val data): 0.8560885787010193
epoch: 1399, running loss(train data): 1.2632579803466797, Accuracy(val data): 0.8487085103988647
epoch: 1419, running loss(train data): 1.2516777515411377, Accuracy(val data): 0.8634686470031738
epoch: 1439, running loss(train data): 1.2444802522659302, Accuracy(val data): 0.8616236448287964
epoch: 1459, running loss(train data): 1.2474015951156616, Accuracy(val data): 0.8671587109565735
epoch: 1479, running loss(train data): 1.2446930408477783, Accuracy(val data): 0.8616236448287964
epoch: 1499, running loss(train data): 1.2479543685913086, Accuracy(val data): 0.8616236448287964
Finnal Accuracy(test data): 0.8671587109565735
loss-51.png is saved
